block,label,w,to_long,tx_long,q_open,q_exit,mode,mode_word,total_return,annualized,buyhold_return,excess,sharpe,bh_sharpe,mdd,n_roundtrips,n_long_rt,n_short_rt,win_rate,in_market_legs,in_market_frac,avg_hold_legs,n_days
Q 不对称双门,"Q=(12,10)",5,2/3,1/2,12,10,long_and_short,多空双向,0.422683,0.815299,0.002056,0.420628,3.0509,0.1573,0.071947,7,5,2,0.8571,64,0.4324,9.14,149
TO_LONG 开仓线,TO=3/5,5,3/5,1/2,10,10,long_only,仅做多,0.185733,0.333927,0.002056,0.183677,1.8721,0.1573,0.091426,7,7,0,0.5714,47,0.3176,6.71,149
TO_LONG 开仓线,TO=3/5,5,3/5,1/2,10,10,long_and_short,多空双向,0.293925,0.546212,0.002056,0.291869,1.94,0.1573,0.093787,15,7,8,0.4667,89,0.6014,5.93,149
TO_LONG 开仓线,TO=7/10,5,7/10,1/2,10,10,long_only,仅做多,0.211426,0.383178,0.002056,0.20937,3.0392,0.1573,0.047782,4,4,0,1.0,23,0.1554,5.75,149
TO_LONG 开仓线,TO=7/10,5,7/10,1/2,10,10,long_and_short,多空双向,0.469226,0.916871,0.002056,0.46717,3.6177,0.1573,0.047477,6,4,2,1.0,49,0.3311,8.17,149
TO_LONG 开仓线,TO=3/4,5,3/4,1/2,10,10,long_only,仅做多,0.105477,0.184826,0.002056,0.103421,2.1462,0.1573,0.032026,2,2,0,1.0,14,0.0946,7.0,149
TO_LONG 开仓线,TO=3/4,5,3/4,1/2,10,10,long_and_short,多空双向,0.251213,0.460877,0.002056,0.249157,3.1698,0.1573,0.027417,3,2,1,1.0,18,0.1216,6.0,149
TX_LONG 平仓线,TX=2/5,5,2/3,2/5,10,10,long_only,仅做多,0.178427,0.320057,0.002056,0.176371,2.0085,0.1573,0.063117,5,5,0,0.8,46,0.3108,9.2,149
TX_LONG 平仓线,TX=2/5,5,2/3,2/5,10,10,long_and_short,多空双向,0.314295,0.587605,0.002056,0.31224,2.1804,0.1573,0.093679,7,5,2,0.8571,78,0.527,11.14,149
TX_LONG 平仓线,TX=3/5,5,2/3,3/5,10,10,long_only,仅做多,0.182113,0.327047,0.002056,0.180057,2.4188,0.1573,0.047782,5,5,0,1.0,27,0.1824,5.4,149
TX_LONG 平仓线,TX=3/5,5,2/3,3/5,10,10,long_and_short,多空双向,0.293029,0.544402,0.002056,0.290974,2.6739,0.1573,0.059786,9,5,4,0.7778,45,0.3041,5.0,149
跨轴角格,"严挑·高Q·严开（Q=(12,12)·TO=3/4）",5,3/4,1/2,12,12,long_only,仅做多,0.105477,0.184826,0.002056,0.103421,2.1462,0.1573,0.032026,2,2,0,1.0,14,0.0946,7.0,149
跨轴角格,"严挑·高Q·严开（Q=(12,12)·TO=3/4）",5,3/4,1/2,12,12,long_and_short,多空双向,0.251213,0.460877,0.002056,0.249157,3.1698,0.1573,0.027417,3,2,1,1.0,18,0.1216,6.0,149
跨轴角格,"宽松·低Q·宽开宽平（Q=(8,8)·TO=3/5·TX=2/5）",5,3/5,2/5,8,8,long_only,仅做多,0.163715,0.292304,0.002056,0.161659,1.4023,0.1573,0.110864,6,6,0,0.6667,75,0.5068,12.5,149
跨轴角格,"宽松·低Q·宽开宽平（Q=(8,8)·TO=3/5·TX=2/5）",5,3/5,2/5,8,8,long_and_short,多空双向,0.353673,0.668883,0.002056,0.351617,1.935,0.1573,0.122372,11,6,5,0.6364,145,0.9797,13.18,149
跨轴角格,"无门槛·宽滞回（Q=(0,0)·TO=3/4·TX=2/5）",5,3/4,2/5,0,0,long_only,仅做多,0.115783,0.203568,0.002056,0.113728,2.2605,0.1573,0.032026,2,2,0,1.0,17,0.1149,8.5,149
跨轴角格,"无门槛·宽滞回（Q=(0,0)·TO=3/4·TX=2/5）",5,3/4,2/5,0,0,long_and_short,多空双向,0.209486,0.379434,0.002056,0.207431,2.4293,0.1573,0.068536,3,2,1,1.0,22,0.1486,7.33,149
跨轴角格,"宽窗·高Q（w=10·Q=(12,12)）",10,2/3,1/2,12,12,long_only,仅做多,0.179398,0.321896,0.002056,0.177342,2.1561,0.1573,0.071947,4,4,0,0.75,37,0.25,9.25,149
跨轴角格,"宽窗·高Q（w=10·Q=(12,12)）",10,2/3,1/2,12,12,long_and_short,多空双向,0.430382,0.831944,0.002056,0.428327,3.1192,0.1573,0.071947,6,4,2,0.8333,63,0.4257,10.5,149
跨轴角格,"快窗·无门槛（w=3·Q=(0,0)）",3,2/3,1/2,0,0,long_only,仅做多,0.223329,0.406242,0.002056,0.221274,2.1147,0.1573,0.091426,7,7,0,0.7143,52,0.3514,7.43,149
跨轴角格,"快窗·无门槛（w=3·Q=(0,0)）",3,2/3,1/2,0,0,long_and_short,多空双向,0.511421,1.010899,0.002056,0.509366,3.0599,0.1573,0.091426,11,7,4,0.6364,87,0.5878,7.91,149
跨轴角格,窄滞回（近似非滞回）（TO=7/10·TX=3/5）,5,7/10,3/5,10,10,long_only,仅做多,0.201863,0.364761,0.002056,0.199807,2.9651,0.1573,0.047782,4,4,0,1.0,19,0.1284,4.75,149
跨轴角格,窄滞回（近似非滞回）（TO=7/10·TX=3/5）,5,7/10,3/5,10,10,long_and_short,多空双向,0.334513,0.629129,0.002056,0.332457,3.2037,0.1573,0.042916,8,4,4,0.75,34,0.2297,4.25,149
